Perspectiva,Interacción,Método,Endpoint (API),Muestras,Media ANTES (ms),Media AHORA (ms),p50 (ms),p95 (ms),Mejora
Cliente (usuario),catalogo productos,GET,cli: catalogo productos,30,,145.6,139.5,183.7,
Cliente (usuario),perfil (me),GET,cli: perfil (me),30,,138.1,129.2,181.6,
Cliente (usuario),categorias,GET,cli: categorias,30,,135.4,118.5,159.4,
Cliente (usuario),mis pedidos,GET,cli: mis pedidos,30,,134.9,126.8,166.4,
Cliente (usuario),roosters,GET,cli: roosters,30,,133.5,124.2,186.7,
Cliente (usuario),sucursales,GET,cli: sucursales,30,,131.8,122.9,196,
Cliente (usuario),resenas pendientes,GET,cli: resenas pendientes,30,,131.2,124.6,177.2,
Cliente (usuario),ofertas,GET,cli: ofertas,30,,129.4,120.5,177.9,
Cliente (usuario),restaurantes,GET,cli: restaurantes,30,,128.5,122.1,220.3,
Cliente (usuario),home-config,GET,cli: home-config,30,,127.2,119.1,188.3,
Cliente (usuario),cupones,GET,cli: cupones,30,,125.2,122.3,153.9,
Admin,extras,GET,adm: extras,30,,151.3,128.8,252.9,
Admin,pedidos,GET,adm: pedidos,30,,146.7,138.8,183.9,
Admin,menu productos,GET,adm: menu productos,30,,145.1,140.2,169.7,
Admin,notificaciones,GET,adm: notificaciones,30,,144.6,133.5,246.2,
Admin,modulos,GET,adm: modulos,30,,143.6,127.1,248.5,
Admin,clientes,GET,adm: clientes,30,,143,131.6,237.9,
Admin,ofertas,GET,adm: ofertas,30,,138.1,135.8,179.4,
Admin,sucursales,GET,adm: sucursales,30,,137.2,127.8,235.5,
Admin,resenas stats,GET,adm: resenas stats,30,,136.8,127.3,179.8,
Admin,dashboard,GET,adm: dashboard,30,,136.3,127.1,189.8,
Admin,resenas,GET,adm: resenas,30,,136.1,130.9,166.2,
Admin,analiticas,GET,adm: analiticas,30,,136.1,128.9,183.2,
Admin,cupones,GET,adm: cupones,30,,134,126.6,174.7,
Admin,configuracion,GET,adm: configuracion,30,,128.9,123.4,157.2,
Admin,inventario,GET,adm: inventario,30,,128.5,124.4,157.8,
Admin,usuarios,GET,adm: usuarios,30,,128,127.3,146.3,
Admin,categorias,GET,adm: categorias,30,,127.9,125.7,159.1,
Superadmin,instancias,GET,sup: instancias,30,,149.3,127,271.4,
Superadmin,superadmins,GET,sup: superadmins,30,,136.4,124.6,253.5,
Superadmin,perfil (me),GET,sup: perfil (me),30,,130.5,126.3,177.6,
